-1.12132,-1.12132
3.12132,3.12132
1,-2
1,4
4,1
-2,1
3.78885,2.10557
0.211146,3.89443
2.57989,-1.55029
3.90287,1.75718
-1.56155,-0.561553
3.56155,4.56155
0.272393,-1.91043
1.72761,3.91043
2.26635,-1.71962
-1.44668,2.73602
3.31234,-0.697732
-0.465283,3.7095
2.87083,-0.870829
-0.870829,2.87083
2.56155,3.56155
3.84605,0.0513167
-1.84605,1.94868
-1.70711,2.29289
-0.292893,3.70711
3.99328,1.20067
-1.89427,1.78943
3.90131,1.76316
0.266576,4.44852
3.4,2.8
2,5
2,-1
3.34164,-0.683282
0.658359,4.68328
3.95617,1.51096
-1.36793,2.84198
2.8,3.4
1,4
2.8,-1.4
-0.8,3.4
-1.44668,-0.736017
2.26635,3.71962
-1.46528,-0.709497
2.31234,3.69773
3.96125,0.519375
-1.16125,3.08062
4.98934,2.25266
-0.518753,3.62969
5.97529,3.38427
1.01101,5.24587
0.87868,0.87868
5.12132,5.12132
-0.707107,-0.707107
6.70711,6.70711
6.6,5.2
5,6
6,7
2,3
3,4
3.19643,2.01948
2.21963,2.37468
3.89443,2.55279
2.10557,3.44721
7,6
11.2,12.6
8.11765,9.47059
8.4,9.8
9.70711,9.70711
12.7071,12.7071
9.6,8.2
8,9
9,10
3.6,2.2
-6.55337,-6.55337
7.55337,7.55337
1,-8.94987
1,10.9499
10,1
-10,1
9.81626,-0.908132
-7.41626,7.70813
-0.396849,-8.99212
6.60375,8.50936
-7.07107,-6.07107
7.07107,8.07107
-8,-5
6,9
-1.47274,-8.89096
3.35509,10.4204
6.40184,-6.68221
-6.40184,8.68221
6.50791,-5.59257
-6.50791,9.59257
6.55337,-5.55337
-7.55337,8.55337
9.58209,-1.8607
-9.38209,4.4607
-8.41014,-4.41014
5.41014,9.41014
-0.335207,-8.99438
-6.26479,8.79438
9.99203,0.600797
-9.87322,2.58732
9.89898,-0.417811
-8.49752,6.27183
9.8947,-0.447352
-7.0947,8.04735
1,-7.94987
1,11.9499
5.25421,-6.50842
-3.65421,11.3084
-9.81626,-0.908132
7.41626,7.70813
9.9511,0.0122261
-9.24521,4.8113
-8,7
6.62077,-6.49436
-5.34077,9.45436
-6.40184,-6.68221
6.40184,8.68221
-6.50791,-6.59257
6.50791,8.59257
9.46341,-2.2317
-8.26341,6.6317
9.92394,0.769014
-9.33571,5.58393
9.8343,1.18714
-8.60143,8.10054
-6.55337,-4.55337
7.55337,9.55337
-0,-5
-1.2,4.6
-10,9
-1.84672,3.21607
-7.98934,10.5872
-1.86999,3.18166
-8.15354,10.5125
-2.46447,2.46447
-15.5355,15.5355
-2.70855,2.23618
-10.8915,4.96382
-3.83156,1.49468
-6.96844,10.9053
-3.12093,1.91209
-9.63154,2.56315
-1.53915,3.74151
-10.8696,7.1344
-1.09187,5.04593
-15.7081,15.3541
-13.0734,17.1467
-15.7266,22.4533
-2,3
-10.9412,5.23529
-1.16608,4.72203
-10.6339,7.87797
-1.3575,4.14333
-6.4825,10.9767
-1.74579,3.37289
-10.6542,7.82711
-2.16536,2.79134
-16.8935,10.9734
-7.6693,9.50099
-16.906,12.9648
-1.89792,-1.89792
2.89792,2.89792
1,-1.4641
1,5.4641
2.87298,1
-4.87298,1
2.96648,2.51676
-2.96648,5.48324
-2.64575,-1.64575
2.64575,3.64575
-3.82843,-0.828427
1.82843,4.82843
0.30469,-1.78124
1.9306,4.72242
1.65779,-0.989343
-3.46106,5.15328
0.684561,1.03468
-4.51986,7.1065
0.283882,0.716118
-5.28388,6.28388
2.68286,0.439048
